filename,true_class,predicted_class,confidence,correct
Common Duckweeds (Lemna minor)\augmented_image_1026.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7885854,True
Common Duckweeds (Lemna minor)\augmented_image_1027.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7920062,True
Common Duckweeds (Lemna minor)\augmented_image_1028.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79134655,True
Common Duckweeds (Lemna minor)\augmented_image_1029.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7885855,True
Common Duckweeds (Lemna minor)\augmented_image_103.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80372036,True
Common Duckweeds (Lemna minor)\augmented_image_1030.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.796824,True
Common Duckweeds (Lemna minor)\augmented_image_1031.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80187035,True
Common Duckweeds (Lemna minor)\augmented_image_1032.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.796824,True
Common Duckweeds (Lemna minor)\augmented_image_1033.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7988663,True
Common Duckweeds (Lemna minor)\augmented_image_1034.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80189735,True
Common Duckweeds (Lemna minor)\augmented_image_1035.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7996183,True
Common Duckweeds (Lemna minor)\augmented_image_1036.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80002534,True
Common Duckweeds (Lemna minor)\augmented_image_1037.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79252493,True
Common Duckweeds (Lemna minor)\augmented_image_1038.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7957789,True
Common Duckweeds (Lemna minor)\augmented_image_1039.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7961545,True
Common Duckweeds (Lemna minor)\augmented_image_104.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8056215,True
Common Duckweeds (Lemna minor)\augmented_image_1040.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7920314,True
Common Duckweeds (Lemna minor)\augmented_image_1041.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.787105,True
Common Duckweeds (Lemna minor)\augmented_image_1042.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7921829,True
Common Duckweeds (Lemna minor)\augmented_image_1043.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79264253,True
Common Duckweeds (Lemna minor)\augmented_image_1044.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7843916,True
Common Duckweeds (Lemna minor)\augmented_image_1045.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7871511,True
Common Duckweeds (Lemna minor)\augmented_image_1046.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78894943,True
Common Duckweeds (Lemna minor)\augmented_image_1047.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78781295,True
Common Duckweeds (Lemna minor)\augmented_image_1048.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79156864,True
Common Duckweeds (Lemna minor)\augmented_image_1049.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7907487,True
Common Duckweeds (Lemna minor)\augmented_image_105.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80772597,True
Common Duckweeds (Lemna minor)\augmented_image_1050.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79373,True
Common Duckweeds (Lemna minor)\augmented_image_1051.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7907487,True
Common Duckweeds (Lemna minor)\augmented_image_106.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80729175,True
Common Duckweeds (Lemna minor)\augmented_image_107.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8029618,True
Common Duckweeds (Lemna minor)\augmented_image_108.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8029618,True
Common Duckweeds (Lemna minor)\augmented_image_109.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7925144,True
Common Duckweeds (Lemna minor)\augmented_image_11.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7859102,True
Common Duckweeds (Lemna minor)\augmented_image_110.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7928306,True
Common Duckweeds (Lemna minor)\augmented_image_111.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80586994,True
Common Duckweeds (Lemna minor)\augmented_image_112.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.800354,True
Common Duckweeds (Lemna minor)\augmented_image_113.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7907374,True
Common Duckweeds (Lemna minor)\augmented_image_114.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79105896,True
Common Duckweeds (Lemna minor)\augmented_image_115.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7863754,True
Common Duckweeds (Lemna minor)\augmented_image_116.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79121524,True
Common Duckweeds (Lemna minor)\augmented_image_117.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7956469,True
Common Duckweeds (Lemna minor)\augmented_image_118.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7968614,True
Common Duckweeds (Lemna minor)\augmented_image_119.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7966282,True
Common Duckweeds (Lemna minor)\augmented_image_12.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80281305,True
Common Duckweeds (Lemna minor)\augmented_image_120.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79387933,True
Common Duckweeds (Lemna minor)\augmented_image_121.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78481644,True
Common Duckweeds (Lemna minor)\augmented_image_122.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7868761,True
Common Duckweeds (Lemna minor)\augmented_image_123.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7870593,True
Common Duckweeds (Lemna minor)\augmented_image_124.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78481644,True
Common Duckweeds (Lemna minor)\augmented_image_125.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78620255,True
Common Duckweeds (Lemna minor)\augmented_image_126.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78382766,True
Common Duckweeds (Lemna minor)\augmented_image_127.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7911818,True
Common Duckweeds (Lemna minor)\augmented_image_128.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78907406,True
Common Duckweeds (Lemna minor)\augmented_image_129.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79670256,True
Common Duckweeds (Lemna minor)\augmented_image_13.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80705976,True
Common Duckweeds (Lemna minor)\augmented_image_130.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79335093,True
Common Duckweeds (Lemna minor)\augmented_image_131.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79646873,True
Common Duckweeds (Lemna minor)\augmented_image_132.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7886909,True
Common Duckweeds (Lemna minor)\augmented_image_133.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7917868,True
Common Duckweeds (Lemna minor)\augmented_image_134.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79471564,True
Common Duckweeds (Lemna minor)\augmented_image_135.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8032597,True
Common Duckweeds (Lemna minor)\augmented_image_136.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79482585,True
Common Duckweeds (Lemna minor)\augmented_image_137.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80201143,True
Common Duckweeds (Lemna minor)\augmented_image_138.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80194014,True
Common Duckweeds (Lemna minor)\augmented_image_139.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8062039,True
Common Duckweeds (Lemna minor)\augmented_image_14.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8077549,True
Common Duckweeds (Lemna minor)\augmented_image_140.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8047739,True
Common Duckweeds (Lemna minor)\augmented_image_141.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8074187,True
Common Duckweeds (Lemna minor)\augmented_image_142.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80733985,True
Common Duckweeds (Lemna minor)\augmented_image_143.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79919726,True
Common Duckweeds (Lemna minor)\augmented_image_144.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79919726,True
Common Duckweeds (Lemna minor)\augmented_image_145.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8000385,True
Common Duckweeds (Lemna minor)\augmented_image_146.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80237687,True
Common Duckweeds (Lemna minor)\augmented_image_147.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81707,True
Common Duckweeds (Lemna minor)\augmented_image_148.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81644905,True
Common Duckweeds (Lemna minor)\augmented_image_149.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81928366,True
Common Duckweeds (Lemna minor)\augmented_image_15.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80123144,True
Common Duckweeds (Lemna minor)\augmented_image_150.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8059451,True
Common Duckweeds (Lemna minor)\augmented_image_151.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79885215,True
Common Duckweeds (Lemna minor)\augmented_image_152.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8016332,True
Common Duckweeds (Lemna minor)\augmented_image_153.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79885215,True
Common Duckweeds (Lemna minor)\augmented_image_154.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8007605,True
Common Duckweeds (Lemna minor)\augmented_image_155.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7969706,True
Common Duckweeds (Lemna minor)\augmented_image_156.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79327023,True
Common Duckweeds (Lemna minor)\augmented_image_157.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79740584,True
Common Duckweeds (Lemna minor)\augmented_image_158.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7955717,True
Common Duckweeds (Lemna minor)\augmented_image_159.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7989388,True
Common Duckweeds (Lemna minor)\augmented_image_16.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80589527,True
Common Duckweeds (Lemna minor)\augmented_image_160.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7901157,True
Common Duckweeds (Lemna minor)\augmented_image_161.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7929804,True
Common Duckweeds (Lemna minor)\augmented_image_162.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7916478,True
Common Duckweeds (Lemna minor)\augmented_image_163.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7901157,True
Common Duckweeds (Lemna minor)\augmented_image_164.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80240715,True
Common Duckweeds (Lemna minor)\augmented_image_165.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7943283,True
Common Duckweeds (Lemna minor)\augmented_image_166.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78397644,True
Common Duckweeds (Lemna minor)\augmented_image_167.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78629434,True
Common Duckweeds (Lemna minor)\augmented_image_168.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7839763,True
Common Duckweeds (Lemna minor)\augmented_image_169.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78397644,True
Common Duckweeds (Lemna minor)\augmented_image_17.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80123144,True
Common Duckweeds (Lemna minor)\augmented_image_170.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7915885,True
Common Duckweeds (Lemna minor)\augmented_image_171.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78810424,True
Common Duckweeds (Lemna minor)\augmented_image_172.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7938809,True
Common Duckweeds (Lemna minor)\augmented_image_173.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79129726,True
Common Duckweeds (Lemna minor)\augmented_image_174.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79006577,True
Common Duckweeds (Lemna minor)\augmented_image_175.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79318494,True
Common Duckweeds (Lemna minor)\augmented_image_176.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7932997,True
Common Duckweeds (Lemna minor)\augmented_image_177.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7955609,True
Common Duckweeds (Lemna minor)\augmented_image_178.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7955609,True
Common Duckweeds (Lemna minor)\augmented_image_179.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7955071,True
Common Duckweeds (Lemna minor)\augmented_image_18.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78357995,True
Common Duckweeds (Lemna minor)\augmented_image_180.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80307806,True
Common Duckweeds (Lemna minor)\augmented_image_181.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8081245,True
Common Duckweeds (Lemna minor)\augmented_image_182.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8047328,True
Common Duckweeds (Lemna minor)\augmented_image_183.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79738325,True
Common Duckweeds (Lemna minor)\augmented_image_184.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7860731,True
Common Duckweeds (Lemna minor)\augmented_image_185.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7860731,True
Common Duckweeds (Lemna minor)\augmented_image_186.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7889743,True
Common Duckweeds (Lemna minor)\augmented_image_187.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7928306,True
Common Duckweeds (Lemna minor)\augmented_image_188.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7928306,True
Common Duckweeds (Lemna minor)\augmented_image_189.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79205036,True
Common Duckweeds (Lemna minor)\augmented_image_19.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78634506,True
Common Duckweeds (Lemna minor)\augmented_image_190.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8018057,True
Common Duckweeds (Lemna minor)\augmented_image_191.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80662453,True
Common Duckweeds (Lemna minor)\augmented_image_192.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80637914,True
Common Duckweeds (Lemna minor)\augmented_image_193.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7989608,True
Common Duckweeds (Lemna minor)\augmented_image_194.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8010645,True
Common Duckweeds (Lemna minor)\augmented_image_195.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79307854,True
Common Duckweeds (Lemna minor)\augmented_image_196.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79926795,True
Common Duckweeds (Lemna minor)\augmented_image_197.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7929046,True
Common Duckweeds (Lemna minor)\augmented_image_198.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7975309,True
Common Duckweeds (Lemna minor)\augmented_image_199.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7943495,True
Common Duckweeds (Lemna minor)\augmented_image_2.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7914346,True
Common Duckweeds (Lemna minor)\augmented_image_20.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78606004,True
Common Duckweeds (Lemna minor)\augmented_image_200.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7925258,True
Common Duckweeds (Lemna minor)\augmented_image_201.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7924425,True
Common Duckweeds (Lemna minor)\augmented_image_202.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7924552,True
Common Duckweeds (Lemna minor)\augmented_image_203.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7892689,True
Common Duckweeds (Lemna minor)\augmented_image_204.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78836286,True
Common Duckweeds (Lemna minor)\augmented_image_205.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7878502,True
Common Duckweeds (Lemna minor)\augmented_image_206.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79091305,True
Common Duckweeds (Lemna minor)\augmented_image_207.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7831091,True
Common Duckweeds (Lemna minor)\augmented_image_208.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78563917,True
Common Duckweeds (Lemna minor)\augmented_image_209.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7860731,True
Common Duckweeds (Lemna minor)\augmented_image_21.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78357995,True
Common Duckweeds (Lemna minor)\augmented_image_210.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7860731,True
Common Duckweeds (Lemna minor)\augmented_image_211.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7971982,True
Common Duckweeds (Lemna minor)\augmented_image_212.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7907187,True
Common Duckweeds (Lemna minor)\augmented_image_213.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79734653,True
Common Duckweeds (Lemna minor)\augmented_image_214.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.786943,True
Common Duckweeds (Lemna minor)\augmented_image_215.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79228765,True
Common Duckweeds (Lemna minor)\augmented_image_216.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79197514,True
Common Duckweeds (Lemna minor)\augmented_image_217.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79204965,True
Common Duckweeds (Lemna minor)\augmented_image_218.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79498965,True
Common Duckweeds (Lemna minor)\augmented_image_219.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79577917,True
Common Duckweeds (Lemna minor)\augmented_image_22.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79096735,True
Common Duckweeds (Lemna minor)\augmented_image_220.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7957603,True
Common Duckweeds (Lemna minor)\augmented_image_221.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78436065,True
Common Duckweeds (Lemna minor)\augmented_image_222.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7846766,True
Common Duckweeds (Lemna minor)\augmented_image_223.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78436065,True
Common Duckweeds (Lemna minor)\augmented_image_224.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7991371,True
Common Duckweeds (Lemna minor)\augmented_image_225.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8021527,True
Common Duckweeds (Lemna minor)\augmented_image_226.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8044738,True
Common Duckweeds (Lemna minor)\augmented_image_227.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80425096,True
Common Duckweeds (Lemna minor)\augmented_image_228.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7857641,True
Common Duckweeds (Lemna minor)\augmented_image_229.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.785554,True
Common Duckweeds (Lemna minor)\augmented_image_23.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79226595,True
Common Duckweeds (Lemna minor)\augmented_image_230.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78546333,True
Common Duckweeds (Lemna minor)\augmented_image_231.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7876354,True
Common Duckweeds (Lemna minor)\augmented_image_232.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78829765,True
Common Duckweeds (Lemna minor)\augmented_image_233.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7892582,True
